                                 Started job on |	Mar 26 14:00:29
                             Started mapping on |	Mar 26 14:00:31
                                    Finished on |	Mar 26 14:00:32
       Mapping speed, Million of reads per hour |	3.60

                          Number of input reads |	1000
                      Average input read length |	150
                                    UNIQUE READS:
                   Uniquely mapped reads number |	959
                        Uniquely mapped reads % |	95.90%
                          Average mapped length |	149.68
                       Number of splices: Total |	236
            Number of splices: Annotated (sjdb) |	234
                       Number of splices: GT/AG |	233
                       Number of splices: GC/AG |	3
                       Number of splices: AT/AC |	0
               Number of splices: Non-canonical |	0
                      Mismatch rate per base, % |	0.12%
                         Deletion rate per base |	0.00%
                        Deletion average length |	1.50
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.00
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	33
             % of reads mapped to multiple loci |	3.30%
        Number of reads mapped to too many loci |	0
             % of reads mapped to too many loci |	0.00%
                                  UNMAPPED READS:
       % of reads unmapped: too many mismatches |	0.00%
                 % of reads unmapped: too short |	0.70%
                     % of reads unmapped: other |	0.10%
